
Buscando mesa en Conforama ... 
Número de intentos realizados: 0

Buscando mesa en IKEA ... 
         1214583 function calls (1189118 primitive calls) in 9.773 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3776    0.002    0.000    0.002    0.000 __init__.py:1065(handle_data)
        2    0.000    0.000    0.000    0.000 __init__.py:108(lookup)
        1    0.000    0.000    0.000    0.000 __init__.py:109(SyntaxErr)
        1    0.000    0.000    0.000    0.000 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:112(InvalidModificationErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1125(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:115(NamespaceErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1151(BeautifulStoneSoup)
        1    0.000    0.000    0.000    0.000 __init__.py:118(InvalidAccessErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1194(_StderrHandler)
        1    0.001    0.001    0.004    0.004 __init__.py:120(dump)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:121(ValidationErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1218(PlaceHolder)
    10753    0.003    0.000    0.004    0.000 __init__.py:122(unescape)
        6    0.000    0.000    0.000    0.000 __init__.py:1224(__init__)
       15    0.000    0.000    0.000    0.000 __init__.py:1230(append)
        1    0.000    0.000    0.000    0.000 __init__.py:124(UserDataHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1260(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1265(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1276(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1280(disable)
       12    0.000    0.000    0.000    0.000 __init__.py:1284(getLogger)
        1    0.000    0.000    0.001    0.001 __init__.py:133(BeautifulSoup)
       12    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1359(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:1389(Logger)
       13    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
       70    0.000    0.000    0.000    0.000 __init__.py:1424(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:159(TreeBuilder)
        2    0.000    0.000    0.000    0.000 __init__.py:1601(addHandler)
        4    0.000    0.000    0.000    0.000 __init__.py:1675(getEffectiveLevel)
       70    0.000    0.000    0.000    0.000 __init__.py:1689(isEnabledFor)
        1    0.000    0.000    0.006    0.006 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1743(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1749(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1760(LoggerAdapter)
        2    0.000    0.000    0.130    0.065 __init__.py:18(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:18(Node)
       16    0.000    0.000    0.001    0.000 __init__.py:183(dumps)
        2    0.000    0.000    0.007    0.003 __init__.py:19(<module>)
       18    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        1    0.000    0.000    0.022    0.022 __init__.py:2(<module>)
       12    0.000    0.000    0.000    0.000 __init__.py:2018(getLogger)
        2    0.000    0.000    0.000    0.000 __init__.py:204(__init__)
        2    0.000    0.000    0.495    0.247 __init__.py:209(__init__)
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:2147(NullHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:2163(createLock)
       24    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
       24    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
        2    0.000    0.000    0.000    0.000 __init__.py:248(_register_at_fork_reinit_lock)
        2    0.000    0.000    0.000    0.000 __init__.py:274(initialize_soup)
        1    0.000    0.000    0.000    0.000 __init__.py:276(LogRecord)
        4    0.000    0.000    0.000    0.000 __init__.py:282(reset)
     5699    0.002    0.000    0.002    0.000 __init__.py:290(can_be_empty_element)
       16    0.000    0.000    0.012    0.001 __init__.py:299(loads)
        4    0.000    0.000    0.000    0.000 __init__.py:311(deprecated_argument)
       27    0.001    0.000    0.003    0.000 __init__.py:313(namedtuple)
     5697    0.037    0.000    0.049    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
      177    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        1    0.000    0.000    0.001    0.001 __init__.py:417(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:424(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:430(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:439(SAXTreeBuilder)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:475(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
